ID,NOMBRE,COMPLETADO,EXTRA
SCO13,EQUIPO,NO,0
SCO14,,NO,0
SCO15,,NO,0
SCO16,,NO,0
SCO17,,NO,0
SCO18,,NO,0
SCO19,,NO,0
SCO20,,NO,0
USA1,ESCUDO,NO,0
USA2,,NO,0
USA3,,NO,0
USA4,,NO,0
USA5,,NO,0
USA6,,NO,0
USA7,,NO,0
USA8,,NO,0
USA9,,NO,0
USA10,,NO,0
USA11,,NO,0
USA12,,NO,0
USA13,EQUIPO,NO,0
USA14,,NO,0
USA15,,NO,0
USA16,,NO,0
USA17,,NO,0
USA18,,NO,0
USA19,,NO,0
USA20,,NO,0
PAR1,ESCUDO,NO,0
PAR2,,NO,0
PAR3,,NO,0
PAR4,,NO,0
PAR5,,NO,0
PAR6,,NO,0
PAR7,,NO,0
PAR8,,NO,0
PAR9,,NO,0
PAR10,,NO,0
PAR11,,NO,0
PAR12,,NO,0
PAR13,EQUIPO,NO,0
PAR14,,NO,0
PAR15,,NO,0
PAR16,,NO,0
PAR17,,NO,0
PAR18,,NO,0
PAR19,,NO,0
PAR20,,NO,0
AUS1,ESCUDO,NO,0
AUS2,,NO,0
AUS3,,NO,0
AUS4,,NO,0
AUS5,,NO,0
AUS6,,NO,0
AUS7,,NO,0
AUS8,,NO,0
AUS9,,NO,0
AUS10,,NO,0
AUS11,,NO,0
AUS12,,NO,0
AUS13,EQUIPO,NO,0
AUS14,,NO,0
AUS15,,NO,0
AUS16,,NO,0
AUS17,,NO,0
AUS18,,NO,0
AUS19,,NO,0
AUS20,,NO,0
TUR1,ESCUDO,NO,0
TUR2,,NO,0
TUR3,,NO,0
TUR4,,NO,0
TUR5,,NO,0
TUR6,,NO,0
TUR7,,NO,0
TUR8,,NO,0
TUR9,,NO,0
TUR10,,NO,0
TUR11,,NO,0
TUR12,,NO,0
TUR13,EQUIPO,NO,0
TUR14,,NO,0
TUR15,,NO,0
TUR16,,NO,0
TUR17,,NO,0
TUR18,,NO,0
TUR19,,NO,0
TUR20,,NO,0
GER1,ESCUDO,NO,0
GER2,,NO,0
GER3,,NO,0
GER4,,NO,0
GER5,,NO,0
GER6,,NO,0
GER7,,NO,0
GER8,,NO,0
GER9,,NO,0
GER10,,NO,0
GER11,,NO,0
GER12,,NO,0
GER13,EQUIPO,NO,0
GER14,,NO,0
GER15,,NO,0
GER16,,NO,0
GER17,,NO,0
GER18,,NO,0
GER19,,NO,0
GER20,,NO,0
CUW1,ESCUDO,NO,0
CUW2,,NO,0
CUW3,,NO,0
CUW4,,NO,0
CUW5,,NO,0
CUW6,,NO,0
CUW7,,NO,0
CUW8,,NO,0
CUW9,,NO,0
CUW10,,NO,0
CUW11,,NO,0
CUW12,,NO,0
CUW13,EQUIPO,NO,0
CUW14,,NO,0
CUW15,,NO,0
CUW16,,NO,0
CUW17,,NO,0
CUW18,,NO,0
CUW19,,NO,0
CUW20,,NO,0
CIV1,ESCUDO,NO,0
CIV2,,NO,0
CIV3,,NO,0
CIV4,,NO,0
CIV5,,NO,0
CIV6,,NO,0
CIV7,,NO,0
CIV8,,NO,0
CIV9,,NO,0
CIV10,,NO,0
CIV11,,NO,0
CIV12,,NO,0
CIV13,EQUIPO,NO,0
CIV14,,NO,0
CIV15,,NO,0
CIV16,,NO,0
CIV17,,NO,0
CIV18,,NO,0
CIV19,,NO,0
CIV20,,NO,0
ECU1,ESCUDO,NO,0
ECU2,,NO,0
ECU3,,NO,0
ECU4,,NO,0
ECU5,,NO,0
ECU6,,NO,0
ECU7,,NO,0
ECU8,,NO,0
ECU9,,NO,0
ECU10,,NO,0
ECU11,,NO,0
ECU12,,NO,0
ECU13,EQUIPO,NO,0
ECU14,,NO,0
ECU15,,NO,0
ECU16,,NO,0
ECU17,,NO,0
ECU18,,NO,0
ECU19,,NO,0
ECU20,,NO,0
NED1,ESCUDO,NO,0
NED2,,NO,0
NED3,,NO,0
NED4,,NO,0
NED5,,NO,0
NED6,,NO,0
NED7,,NO,0
NED8,,NO,0
NED9,,NO,0
NED10,,NO,0
NED11,,NO,0
NED12,,NO,0
NED13,EQUIPO,NO,0
NED14,,NO,0
NED15,,NO,0
NED16,,NO,0
NED17,,NO,0
NED18,,NO,0
NED19,,NO,0
NED20,,NO,0
JPN1,ESCUDO,NO,0
JPN2,,NO,0
JPN3,,NO,0
JPN4,,NO,0
JPN5,,NO,0
JPN6,,NO,0
JPN7,,NO,0
JPN8,,NO,0
JPN9,,NO,0
JPN10,,NO,0
JPN11,,NO,0
JPN12,,NO,0
JPN13,EQUIPO,NO,0
JPN14,,NO,0
JPN15,,NO,0
JPN16,,NO,0
JPN17,,NO,0
JPN18,,NO,0
JPN19,,NO,0
JPN20,,NO,0
SWE1,ESCUDO,NO,0
SWE2,,NO,0
SWE3,,NO,0
SWE4,,NO,0
SWE5,,NO,0
SWE6,,NO,0
SWE7,,NO,0
SWE8,,NO,0
SWE9,,NO,0
SWE10,,NO,0
SWE11,,NO,0
SWE12,,NO,0
SWE13,EQUIPO,NO,0
SWE14,,NO,0
SWE15,,NO,0
SWE16,,NO,0
SWE17,,NO,0
SWE18,,NO,0
SWE19,,NO,0
SWE20,,NO,0
TUN1,ESCUDO,NO,0
TUN2,,NO,0
TUN3,,NO,0
TUN4,,NO,0
TUN5,,NO,0
TUN6,,NO,0
TUN7,,NO,0
TUN8,,NO,0
TUN9,,NO,0
TUN10,,NO,0
TUN11,,NO,0
TUN12,,NO,0
TUN13,EQUIPO,NO,0
TUN14,,NO,0
TUN15,,NO,0
TUN16,,NO,0
TUN17,,NO,0
TUN18,,NO,0
TUN19,,NO,0
TUN20,,NO,0
BEL1,ESCUDO,NO,0
BEL2,,NO,0
BEL3,,NO,0
BEL4,,NO,0
BEL5,,NO,0
BEL6,,NO,0
BEL7,,NO,0
BEL8,,NO,0
BEL9,,NO,0
BEL10,,NO,0
BEL11,,NO,0
BEL12,,NO,0
BEL13,EQUIPO,NO,0
BEL14,,NO,0
BEL15,,NO,0
BEL16,,NO,0
BEL17,,NO,0
BEL18,,NO,0
BEL19,,NO,0
BEL20,,NO,0
EGY1,ESCUDO,NO,0
EGY2,,NO,0
EGY3,,NO,0
EGY4,,NO,0
EGY5,,NO,0
EGY6,,NO,0
EGY7,,NO,0
EGY8,,NO,0
EGY9,,NO,0
EGY10,,NO,0
EGY11,,NO,0
EGY12,,NO,0
EGY13,EQUIPO,NO,0
EGY14,,NO,0
EGY15,,NO,0
EGY16,,NO,0
EGY17,,NO,0
EGY18,,NO,0
EGY19,,NO,0
EGY20,,NO,0
IRN1,ESCUDO,NO,0
IRN2,,NO,0
IRN3,,NO,0
IRN4,,NO,0
IRN5,,NO,0
IRN6,,NO,0
IRN7,,NO,0
